Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
02-DEC-2025,26087.95,26154.6,25997.85,26032.2,254803113,26298.82
01-DEC-2025,26325.8,26325.8,26124.2,26175.75,213828573,21734.75
28-NOV-2025,26237.45,26280.75,26172.4,26202.95,202511545,20525.36
27-NOV-2025,26261.25,26310.45,26141.9,26215.55,240287057,25306.47
26-NOV-2025,25842.95,26215.15,25842.95,26205.3,275265169,31666.03
25-NOV-2025,25998.5,26032.6,25857.5,25884.8,260454909,25320.15
24-NOV-2025,26122.8,26142.8,25912.15,25959.5,464655063,44895.45
21-NOV-2025,26109.55,26179.2,26052.2,26068.15,235581427,24720.07
20-NOV-2025,26132.1,26246.65,26063.2,26192.15,240425729,25000.17
19-NOV-2025,25918.1,26074.65,25856.2,26052.65,250110008,24496.86
18-NOV-2025,26021.8,26029.85,25876.5,25910.05,280000989,26059.6
17-NOV-2025,25948.2,26024.2,25906.35,26013.45,264610565,23384.35
14-NOV-2025,25767.9,25940.2,25740.8,25910.05,518943416,33121.81
13-NOV-2025,25906.1,26010.7,25808.4,25879.15,385170023,30145.74
12-NOV-2025,25834.3,25934.55,25781.15,25875.8,343864299,30633.19
11-NOV-2025,25617,25715.8,25449.25,25694.95,297714069,28285.51
10-NOV-2025,25503.5,25653.45,25503.5,25574.35,243592948,25023.65
07-NOV-2025,25433.8,25551.25,25318.45,25492.3,305606393,35487
06-NOV-2025,25593.35,25679.15,25491.55,25509.7,371852417,36129.62
04-NOV-2025,25744.75,25787.4,25578.4,25597.65,305143084,29307.41
03-NOV-2025,25696.85,25803.1,25645.5,25763.35,275858501,23949.88
31-OCT-2025,25863.8,25953.75,25711.2,25722.1,334384400,28788.4
30-OCT-2025,25984.4,26032.05,25845.25,25877.85,257373001,24180.46
29-OCT-2025,25982,26097.85,25960.3,26053.9,321880610,26309.32
28-OCT-2025,25939.95,26041.7,25810.05,25936.2,395231207,37023.32
27-OCT-2025,25843.2,26005.95,25827,25966.05,266337274,23989.06
24-OCT-2025,25935.1,25944.15,25718.2,25795.15,284913477,23527.98
23-OCT-2025,26057.2,26104.2,25862.45,25891.4,448404894,41777.68
21-OCT-2025,25901.2,25934.35,25825.8,25868.6,42477128,3831.1
20-OCT-2025,25824.6,25926.2,25788.5,25843.15,301133193,29637.12
17-OCT-2025,25546.85,25781.5,25508.6,25709.85,422055809,35106.96
16-OCT-2025,25394.9,25625.4,25376.85,25585.3,372777021,32008.64
15-OCT-2025,25181.95,25365.15,25159.35,25323.55,289930172,25202.02
14-OCT-2025,25277.55,25310.35,25060.55,25145.5,292129083,24151.97
13-OCT-2025,25177.3,25267.3,25152.3,25227.35,234285202,20806.83
10-OCT-2025,25167.65,25330.75,25156.85,25285.35,232943306,21749.23
09-OCT-2025,25074.3,25199.25,25024.3,25181.8,286253252,22617.86
08-OCT-2025,25079.75,25192.5,25008.5,25046.15,225967495,21701.19
07-OCT-2025,25085.3,25220.9,25076.3,25108.3,286833765,26176.23
06-OCT-2025,24916.55,25095.95,24881.65,25077.65,271953070,25160.76
03-OCT-2025,24759.55,24904.8,24747.55,24894.25,366929642,31409.06
01-OCT-2025,24620.55,24867.95,24605.95,24836.3,308135228,29041.17
30-SEP-2025,24691.95,24731.8,24587.7,24611.1,304924720,29285.11
29-SEP-2025,24728.55,24791.3,24606.2,24634.9,394388242,40004.93
26-SEP-2025,24818.55,24868.6,24629.45,24654.7,291537949,29987.93
25-SEP-2025,25034.5,25092.7,24878.3,24890.85,342534768,32715.91
24-SEP-2025,25108.75,25149.85,25027.45,25056.9,244382281,22310.05
23-SEP-2025,25209,25261.9,25084.65,25169.5,299204338,31435.17
22-SEP-2025,25238.1,25331.7,25151.05,25202.35,254509892,25277.82
19-SEP-2025,25410.2,25431.4,25286.3,25327.05,380362832,38805.58
18-SEP-2025,25441.05,25448.55,25329.75,25423.6,272193683,24198.11
17-SEP-2025,25276.6,25346.5,25275.35,25330.25,268936695,23484.12
16-SEP-2025,25073.6,25261.4,25070.45,25239.1,240122320,22642.86
15-SEP-2025,25118.9,25138.45,25048.75,25069.2,185375759,17115.6
12-SEP-2025,25074.45,25139.45,25038.05,25114,225739766,21335.67
11-SEP-2025,24945.5,25037.3,24940.15,25005.5,224570983,21316.72
10-SEP-2025,24991,25035.7,24915.05,24973.1,244146466,22458.98
09-SEP-2025,24864.1,24891.8,24814,24868.6,226919775,22356.88
08-SEP-2025,24802.6,24885.5,24751.55,24773.15,213228202,20122.88
05-SEP-2025,24818.85,24832.35,24621.6,24741,210071924,18530.24
04-SEP-2025,24980.75,24980.75,24708.2,24734.3,314094160,30252.19
03-SEP-2025,24616.5,24737.05,24533.2,24715.05,340283328,23533.08
02-SEP-2025,24653,24756.1,24522.35,24579.6,271558516,22051.8
01-SEP-2025,24432.7,24635.6,24432.7,24625.05,229327424,20704.88
29-AUG-2025,24466.7,24572.45,24404.7,24426.85,325543583,26796.69
28-AUG-2025,24695.8,24702.65,24481.6,24500.9,326601486,29371.67
26-AUG-2025,24899.5,24919.65,24689.6,24712.05,750473927,47068.2
25-AUG-2025,24949.15,25021.55,24894.35,24967.75,213032133,19871.25
22-AUG-2025,25064.15,25084.85,24859.15,24870.1,210165384,19655.78
21-AUG-2025,25142,25153.65,25054.9,25083.75,226542052,21865.07
20-AUG-2025,24965.8,25088.7,24929.7,25050.55,287054119,25330.45
19-AUG-2025,24891.35,25012.65,24873.95,24980.65,252340828,24781.97
18-AUG-2025,24938.2,25022,24852.85,24876.95,363071305,37637.67
14-AUG-2025,24607.25,24673.65,24596.9,24631.3,270162203,22375.44
13-AUG-2025,24586.2,24664.55,24535.25,24619.35,236006791,22843.14
12-AUG-2025,24563.35,24702.6,24465.65,24487.4,237002462,22258.29
11-AUG-2025,24371.5,24600.85,24347.45,24585.05,241145497,21081.61
08-AUG-2025,24544.25,24585.5,24337.5,24363.3,312630157,38135.74
07-AUG-2025,24464.2,24634.2,24344.15,24596.15,616739190,35574.59
06-AUG-2025,24641.35,24671.4,24539.2,24574.2,225091071,20559.22
05-AUG-2025,24720.25,24733.1,24590.3,24649.55,251849778,23815.36
04-AUG-2025,24596.05,24736.25,24554,24722.75,259329477,20372.68
01-AUG-2025,24734.9,24784.15,24535.05,24565.35,263357194,24972.45
31-JUL-2025,24642.25,24956.5,24635,24768.35,346303628,30477.71
30-JUL-2025,24890.4,24902.3,24771.95,24855.05,243886726,23525.25
29-JUL-2025,24609.65,24847.15,24598.6,24821.1,284657235,25954.42
28-JUL-2025,24782.45,24889.2,24646.6,24680.9,262142969,24976.54
25-JUL-2025,25010.35,25010.35,24806.35,24837,278136104,25273.64
24-JUL-2025,25243.3,25246.25,25018.7,25062.1,338728860,27433.34
23-JUL-2025,25139.35,25233.5,25085.5,25219.9,271539651,23042.49
22-JUL-2025,25166.65,25182,25035.55,25060.9,483725120,31248.06
21-JUL-2025,24999,25111.4,24882.3,25090.7,305216414,26062.25
18-JUL-2025,25108.55,25144.6,24918.65,24968.4,316979826,26330.8
17-JUL-2025,25230.75,25238.35,25101,25111.45,243412540,24715.35
16-JUL-2025,25196.6,25255.3,25121.05,25212.05,228815928,22254.54
15-JUL-2025,25089.5,25245.2,25088.45,25195.8,241340130,23282.7
14-JUL-2025,25149.5,25151.1,25001.95,25082.3,259533624,23316.33
11-JUL-2025,25255.5,25322.45,25129,25149.85,249987681,26251.65
10-JUL-2025,25511.65,25524.05,25340.45,25355.25,219609322,21435.36
09-JUL-2025,25514.6,25548.7,25424.35,25476.1,239081546,20549.5
08-JUL-2025,25427.85,25548.05,25424.15,25522.5,210410530,21947.32
07-JUL-2025,25450.45,25489.8,25407.25,25461.3,196051345,16923.26
04-JUL-2025,25428.85,25470.25,25331.65,25461,193511595,19101.33
03-JUL-2025,25505.1,25587.5,25384.35,25405.3,293428797,24531.7
02-JUL-2025,25588.3,25608.1,25378.75,25453.4,309828013,26681.66
01-JUL-2025,25551.35,25593.4,25501.8,25541.8,260669106,23921.02
30-JUN-2025,25661.65,25669.35,25473.3,25517.05,270981274,24673.48
27-JUN-2025,25576.65,25654.2,25523.55,25637.8,563957748,47108.6
26-JUN-2025,25268.95,25565.3,25259.9,25549,428891818,38689.39
25-JUN-2025,25150.35,25266.8,25125.05,25244.75,260582584,22985.17
24-JUN-2025,25179.9,25317.7,24999.7,25044.35,450185468,35508.9
23-JUN-2025,24939.75,25057,24824.85,24971.9,248534153,20797.88
20-JUN-2025,24787.65,25136.2,24783.65,25112.4,574654035,55782.03
19-JUN-2025,24803.25,24863.1,24733.4,24793.25,274619935,23620.79
18-JUN-2025,24788.35,24947.55,24750.45,24812.05,237599011,22044.05
17-JUN-2025,24977.85,24982.05,24813.7,24853.4,242415740,21818.05
16-JUN-2025,24732.35,24967.1,24703.6,24946.5,305813047,23857.15
13-JUN-2025,24473,24754.35,24473,24718.6,318711364,24838.56
12-JUN-2025,25164.45,25196.2,24825.9,24888.2,328310748,29573.27
11-JUN-2025,25134.15,25222.4,25081.3,25141.4,301245273,25871.18
10-JUN-2025,25196.05,25199.3,25055.45,25104.25,307323471,28813.93
09-JUN-2025,25160.1,25160.1,25077.15,25103.2,279219989,25606.21
06-JUN-2025,24748.7,25029.5,24671.45,25003.05,335581057,30041.71
05-JUN-2025,24691.2,24899.85,24613.1,24750.9,388405978,30186.46
04-JUN-2025,24560.45,24644.25,24530.45,24620.2,280862575,21907.07
03-JUN-2025,24786.3,24845.1,24502.15,24542.5,349288937,28906.4
02-JUN-2025,24669.7,24754.4,24526.15,24716.6,311100908,25091.04
30-MAY-2025,24812.6,24863.95,24717.4,24750.7,853890978,52247.87
29-MAY-2025,24825.1,24892.6,24677.3,24833.6,345370611,29730.05
28-MAY-2025,24832.5,24864.25,24737.05,24752.45,684425321,37143.55
27-MAY-2025,24956.65,25062.9,24704.1,24826.2,525653668,33638.3
26-MAY-2025,24919.35,25079.2,24900.5,25001.15,302799227,20060.68
23-MAY-2025,24639.5,24909.05,24614.05,24853.15,270470348,20200.73
22-MAY-2025,24733.95,24737.5,24462.4,24609.7,403279638,30579.52
21-MAY-2025,24744.25,24946.2,24685.35,24813.45,332724952,23179.85
20-MAY-2025,24996.2,25010.35,24669.7,24683.9,414799113,31063.03
19-MAY-2025,25005.35,25062.95,24916.65,24945.45,255254340,21598.6
16-MAY-2025,25064.65,25070,24953.05,25019.8,432717092,43815.86
15-MAY-2025,24694.45,25116.25,24494.45,25062.1,500821889,44147.39
14-MAY-2025,24613.8,24767.55,24535.55,24666.9,345490805,25585.37
13-MAY-2025,24864.05,24973.8,24547.5,24578.35,422977876,34576.66
12-MAY-2025,24420.1,24944.8,24378.85,24924.7,368707684,30362.27
09-MAY-2025,23935.75,24164.25,23935.75,24008,335550680,28942.61
08-MAY-2025,24431.5,24447.25,24150.2,24273.8,411362230,36893.06
07-MAY-2025,24233.3,24449.6,24220,24414.4,330137191,27648.34
06-MAY-2025,24500.75,24509.65,24331.8,24379.6,302354059,26481.15
05-MAY-2025,24419.5,24526.4,24400.65,24461.15,291471628,26918.36
02-MAY-2025,24311.9,24589.15,24238.5,24346.7,421112627,34043.27
30-APR-2025,24342.05,24396.15,24198.75,24334.2,424452559,41073.48
29-APR-2025,24370.7,24457.65,24290.75,24335.95,357563224,30436.88
28-APR-2025,24070.25,24355.1,24054.05,24328.5,320467976,28278.82
25-APR-2025,24289,24365.45,23847.85,24039.35,387741866,33430.86
24-APR-2025,24277.9,24347.85,24216.15,24246.7,358768165,33057.29
23-APR-2025,24357.6,24359.3,24119.95,24328.95,415042544,34527.08
22-APR-2025,24185.4,24242.6,24072,24167.25,440940490,35479.29
21-APR-2025,23949.15,24189.55,23903.65,24125.55,406145632,33125.62
17-APR-2025,23401.85,23872.35,23298.55,23851.65,505333905,38450.09
16-APR-2025,23344.1,23452.2,23273.05,23437.2,348424960,28102.36
15-APR-2025,23368.35,23368.35,23207,23328.55,388321931,34216.17
11-APR-2025,22695.4,22923.9,22695.4,22828.55,402162001,33683.6
09-APR-2025,22460.3,22468.7,22353.25,22399.15,383822618,28996.55
08-APR-2025,22446.75,22697.2,22270.85,22535.85,468250807,37226.82
07-APR-2025,21758.4,22254,21743.65,22161.6,647107618,49172.14
04-APR-2025,23190.4,23214.7,22857.45,22904.45,466776198,33761.96
03-APR-2025,23150.3,23306.5,23145.8,23250.1,283196379,23501.33
02-APR-2025,23192.6,23350,23158.45,23332.35,340970371,24334.3
